route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2021_09_13-DX-MVS-Weekday-08,964241,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964425,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964242,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964428,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964243,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964441,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964244,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964447,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964245,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964448,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964246,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964442,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964247,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964444,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964248,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964445,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964249,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964431,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964250,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964419,Berryessa/North San Jose,0,,966746_shp,,1,1
5,2021_09_13-DX-MVS-Weekday-08,964251,Daly City,1,,964252_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964420,Berryessa/North San Jose,0,,966746_shp,,1,1
6,2021_09_13-DX-MVS-Weekday-08,964421,Berryessa/North San Jose,0,,966746_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964511,Richmond,0,,964511_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964593,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964518,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964521,Berryessa/North San Jose,1,,964395_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964510,Richmond,0,,964510_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964580,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964514,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964520,Berryessa/North San Jose,1,,964395_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964513,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964581,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964479,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964590,Berryessa/North San Jose,1,,964395_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964517,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964582,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964453,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964588,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964454,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964589,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964451,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964583,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964449,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964584,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964450,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964585,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964452,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964586,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964456,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964587,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964457,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964529,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964458,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964551,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964459,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964550,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964492,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964552,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964476,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964531,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964461,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964533,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964463,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964543,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964484,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964522,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964462,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964534,Berryessa/North San Jose,1,,964593_shp,,1,1
3,2021_09_13-DX-MVS-Weekday-08,964465,Richmond,0,,964518_shp,,1,1
4,2021_09_13-DX-MVS-Weekday-08,964548,Berryessa/North San Jose,1,,964593_shp,,1,1
