route_id,trip_id,service_id
downward,371105,weekday
downward,371143,weekday
downward,371168,weekday
downward,381042,weekday
downward,381065,weekday
downward,381121,weekday
downward,391044,weekday
downward,391108,weekday
downward,401046,weekday
downward,401069,weekday
downward,411048,weekday
downward,411111,weekday
downward,411190,weekday
downward,421050,weekday
downward,421073,weekday
downward,421124,weekday
downward,421154,weekday
downward,421182,weekday
downward,431052,weekday
downward,431114,weekday
downward,441054,weekday
downward,441076,weekday
downward,441126,weekday
downward,441155,weekday
downward,441183,weekday
downward,451056,weekday
downward,451117,weekday
downward,451148,weekday
downward,451174,weekday
downward,461058,weekday
downward,461079,weekday
downward,471060,weekday
downward,481062,weekday
downward,481082,weekday
downward,491064,weekday
downward,491120,weekday
downward,491151,weekday
downward,491178,weekday
downward,501066,weekday
downward,501085,weekday
downward,501131,weekday
downward,501159,weekday
downward,501189,weekday
downward,511068,weekday
downward,511122,weekday
downward,511152,weekday
downward,511179,weekday
downward,521070,weekday
downward,521088,weekday
downward,521133,weekday
downward,521160,weekday
downward,521191,weekday
downward,531072,weekday
downward,541075,weekday
downward,541125,weekday
downward,551078,weekday
downward,551127,weekday
downward,551156,weekday
downward,551185,weekday
downward,561081,weekday
downward,561129,weekday
downward,561157,weekday
downward,561186,weekday
downward,571084,weekday
downward,581087,weekday
downward,581132,weekday
downward,591090,weekday
downward,591134,weekday
downward,591161,weekday
downward,591193,weekday
